AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2005,2007,2,Pollock,EBS,1930000,1790000,1500000,1,1,PollockEBS
2005,2007,2,Pollock,AI,39100,29400,19000,1,1,PollockAI
2005,2007,2,Pollock,Bogoslof,50600,5500,10,1,1,PollockBogoslof
2005,2007,2,Pacific cod,BSAI,176000,148000,148000,2,1,Pacific codBSAI
2005,2007,2,Sablefish,BS,3260,2700,2700,3,1,SablefishBS
2005,2007,2,Sablefish,AI,3300,2740,2740,3,1,SablefishAI
2005,2007,2,Atka mackerel,BSAI,107000,91000,63000,17,1,Atka mackerelBSAI
2005,2007,2,Atka mackerel,EAI/BS,NA,18020,7500,17,0,Atka mackerelEAI/BS
2005,2007,2,Atka mackerel,CAI,NA,38760,38000,17,0,Atka mackerelCAI
2005,2007,2,Atka mackerel,WAI,NA,34220,17500,17,0,Atka mackerelWAI
2005,2007,2,Yellowfin sole,BSAI,137000,116000,107641,4,1,Yellowfin soleBSAI
2005,2007,2,Northern rock sole,BSAI,145000,122000,44000,8,1,Northern rock soleBSAI
2005,2007,2,Greenland turbot,BSAI,13400,2630,2630,5,1,Greenland turbotBSAI
2005,2007,2,Greenland turbot,BS,NA,1815,1815,5,0,Greenland turbotBS
2005,2007,2,Greenland turbot,AI,NA,815,815,5,0,Greenland turbotAI
2005,2007,2,Arrowtooth flounder,BSAI,174000,142000,18000,6,1,Arrowtooth flounderBSAI
2005,2007,2,Flathead sole,BSAI,67900,56600,22000,9,1,Flathead soleBSAI
2005,2007,2,Other flatfish,BSAI,24200,18100,5000,11,1,Other flatfishBSAI
2005,2007,2,Alaska plaice,BSAI,231000,183000,15000,10,1,Alaska plaiceBSAI
2005,2007,2,Pacific ocean perch,BSAI,17600,14800,14800,12,1,Pacific ocean perchBSAI
2005,2007,2,Pacific ocean perch,BS,NA,2960,2960,12,0,Pacific ocean perchBS
2005,2007,2,Pacific ocean perch,EAI,NA,3256,3256,12,0,Pacific ocean perchEAI
2005,2007,2,Pacific ocean perch,CAI,NA,3212,3212,12,0,Pacific ocean perchCAI
2005,2007,2,Pacific ocean perch,WAI,NA,5375,5372,12,0,Pacific ocean perchWAI
2005,2007,2,Northern rockfish,BSAI,9890,8320,5000,13,1,Northern rockfishBSAI
2005,2007,2,Shortraker rockfish,BSAI,774,580,580,15,1,Shortraker rockfishBSAI
2005,2007,2,Blackspotted/Rougheye rockfish,BSAI,299,224,224,14,1,Blackspotted/Rougheye rockfishBSAI
2005,2007,2,Other rockfish,BSAI,1870,1400,1400,16,1,Other rockfishBSAI
2005,2007,2,Other rockfish,BS,NA,810,810,16,0,Other rockfishBS
2005,2007,2,Other rockfish,AI,NA,590,590,16,0,Other rockfishAI
2005,2007,2,Squids,BSAI,2620,1970,1275,21,1,SquidsBSAI
2005,2007,2,Other species,BSAI,89404,62950,27000,16,1,Other speciesBSAI
2004,2005,1,Pollock,EBS,2100000,1960000,1478500,1,1,PollockEBS
2004,2005,1,Pollock,AI,39100,29400,19000,1,1,PollockAI
2004,2005,1,Pollock,Bogoslof,39600,2570,10,1,1,PollockBogoslof
2004,2005,1,Pacific cod,BSAI,265000,206000,206000,2,1,Pacific codBSAI
2004,2005,1,Sablefish,BS,2950,2440,2440,3,1,SablefishBS
2004,2005,1,Sablefish,AI,3170,2620,2620,3,1,SablefishAI
2004,2005,1,Atka mackerel,BSAI,147000,124000,63000,17,1,Atka mackerelBSAI
2004,2005,1,Atka mackerel,EAI/BS,NA,24550,7500,17,0,Atka mackerelEAI/BS
2004,2005,1,Atka mackerel,CAI,NA,52830,35500,17,0,Atka mackerelCAI
2004,2005,1,Atka mackerel,WAI,NA,46620,20000,17,0,Atka mackerelWAI
2004,2005,1,Yellowfin sole,BSAI,148000,124000,90686,4,1,Yellowfin soleBSAI
2004,2005,1,Northern rock sole,BSAI,157000,132000,41500,8,1,Northern rock soleBSAI
2004,2005,1,Greenland turbot,BSAI,19200,3930,3500,5,1,Greenland turbotBSAI
2004,2005,1,Greenland turbot,BS,NA,2720,2700,5,0,Greenland turbotBS
2004,2005,1,Greenland turbot,AI,NA,1210,800,5,0,Greenland turbotAI
2004,2005,1,Arrowtooth flounder,BSAI,132000,108000,12000,6,1,Arrowtooth flounderBSAI
2004,2005,1,Flathead sole,BSAI,70200,58500,19500,9,1,Flathead soleBSAI
2004,2005,1,Other flatfish,BSAI,28500,21400,3500,11,1,Other flatfishBSAI
2004,2005,1,Alaska plaice,BSAI,237000,189000,8000,10,1,Alaska plaiceBSAI
2004,2005,1,Pacific ocean perch,BSAI,17300,14600,12600,12,1,Pacific ocean perchBSAI
2004,2005,1,Pacific ocean perch,BS,NA,2920,1400,12,0,Pacific ocean perchBS
2004,2005,1,Pacific ocean perch,EAI,NA,3210,3080,12,0,Pacific ocean perchEAI
2004,2005,1,Pacific ocean perch,CAI,NA,3165,3035,12,0,Pacific ocean perchCAI
2004,2005,1,Pacific ocean perch,WAI,NA,5305,5085,12,0,Pacific ocean perchWAI
2004,2005,1,Northern rockfish,BSAI,9810,8260,5000,13,1,Northern rockfishBSAI
2004,2005,1,Shortraker rockfish,BSAI,794,596,596,15,1,Shortraker rockfishBSAI
2004,2005,1,Blackspotted/Rougheye rockfish,BSAI,298,223,223,14,1,Blackspotted/Rougheye rockfishBSAI
2004,2005,1,Other rockfish,BSAI,1870,1400,1050,16,1,Other rockfishBSAI
2004,2005,1,Other rockfish,BS,NA,810,460,16,0,Other rockfishBS
2004,2005,1,Other rockfish,AI,NA,590,590,16,0,Other rockfishAI
2004,2005,1,Squids,BSAI,2620,1970,1275,21,1,SquidsBSAI
2004,2005,1,Other species,BSAI,87920,53860,29000,16,1,Other speciesBSAI
2004,2006,2,Pollock,EBS,1944000,1617000,1487756,1,1,PollockEBS
2004,2006,2,Pollock,AI,39100,29400,19000,1,1,PollockAI
2004,2006,2,Pollock,Bogoslof,39600,2570,10,1,1,PollockBogoslof
2004,2006,2,Pacific cod,BSAI,226000,195000,195000,2,1,Pacific codBSAI
2004,2006,2,Sablefish,BS,2690,2310,2310,3,1,SablefishBS
2004,2006,2,Sablefish,AI,2880,2480,2480,3,1,SablefishAI
2004,2006,2,Atka mackerel,BSAI,127000,107000,63000,17,1,Atka mackerelBSAI
2004,2006,2,Atka mackerel,EAI/BS,NA,21190,7500,17,0,Atka mackerelEAI/BS
2004,2006,2,Atka mackerel,CAI,NA,45580,35500,17,0,Atka mackerelCAI
2004,2006,2,Atka mackerel,WAI,NA,40230,20000,17,0,Atka mackerelWAI
2004,2006,2,Yellowfin sole,BSAI,133000,114000,90000,4,1,Yellowfin soleBSAI
2004,2006,2,Northern rock sole,BSAI,145000,122000,42000,8,1,Northern rock soleBSAI
2004,2006,2,Greenland turbot,BSAI,11100,3600,3500,5,1,Greenland turbotBSAI
2004,2006,2,Greenland turbot,BS,NA,2500,2500,5,0,Greenland turbotBS
2004,2006,2,Greenland turbot,AI,NA,1100,1000,5,0,Greenland turbotAI
2004,2006,2,Arrowtooth flounder,BSAI,103000,88400,12000,6,1,Arrowtooth flounderBSAI
2004,2006,2,Flathead sole,BSAI,56100,48400,20000,9,1,Flathead soleBSAI
2004,2006,2,Other flatfish,BSAI,28500,21400,3000,11,1,Other flatfishBSAI
2004,2006,2,Alaska plaice,BSAI,115000,109000,10000,10,1,Alaska plaiceBSAI
2004,2006,2,Pacific ocean perch,BSAI,17408,14600,12600,12,1,Pacific ocean perchBSAI
2004,2006,2,Pacific ocean perch,BS,NA,2920,1400,12,0,Pacific ocean perchBS
2004,2006,2,Pacific ocean perch,EAI,NA,3210,3080,12,0,Pacific ocean perchEAI
2004,2006,2,Pacific ocean perch,CAI,NA,3165,3035,12,0,Pacific ocean perchCAI
2004,2006,2,Pacific ocean perch,WAI,NA,5305,5085,12,0,Pacific ocean perchWAI
2004,2006,2,Northern rockfish,BSAI,9480,8040,5000,13,1,Northern rockfishBSAI
2004,2006,2,Shortraker rockfish,BSAI,794,596,596,15,1,Shortraker rockfishBSAI
2004,2006,2,Blackspotted/Rougheye rockfish,BSAI,298,223,223,14,1,Blackspotted/Rougheye rockfishBSAI
2004,2006,2,Other rockfish,BSAI,1870,1400,1050,16,1,Other rockfishBSAI
2004,2006,2,Other rockfish,BS,NA,810,460,16,0,Other rockfishBS
2004,2006,2,Other rockfish,AI,NA,590,590,16,0,Other rockfishAI
2004,2006,2,Squids,BSAI,2620,1970,1275,21,1,SquidsBSAI
2004,2006,2,Other species,BSAI,87920,57870,29200,16,1,Other speciesBSAI
2003,2004,1,Pollock,BS,2100000,1960000,1478500,1,1,PollockBS
2003,2004,1,Pollock,AI,39100,29400,19000,1,1,PollockAI
2003,2004,1,Pollock,Bogoslof,39600,2570,10,1,1,PollockBogoslof
2003,2004,1,Pacific cod,BSAI,265000,206000,206000,2,1,Pacific codBSAI
2003,2004,1,Pacific cod,BS,NA,NA,NA,2,0,Pacific codBS
2003,2004,1,Pacific cod,AI,NA,NA,NA,2,0,Pacific codAI
2003,2004,1,Sablefish,BSAI Total,NA,NA,NA,3,1,SablefishBSAI Total
2003,2004,1,Sablefish,Alaska Total,NA,NA,NA,3,0,SablefishAlaska Total
2003,2004,1,Sablefish,BS,2950,2440,2440,3,1,SablefishBS
2003,2004,1,Sablefish,AI,3170,2620,2620,3,1,SablefishAI
2003,2004,1,Yellowfin sole,BSAI,148000,124000,90686,4,1,Yellowfin soleBSAI
2003,2004,1,Greenland turbot,BSAI,19200,3930,3500,5,1,Greenland turbotBSAI
2003,2004,1,Greenland turbot,BS,NA,2720,2700,5,0,Greenland turbotBS
2003,2004,1,Greenland turbot,AI,NA,1210,800,5,0,Greenland turbotAI
2003,2004,1,Arrowtooth flounder,BSAI,132000,108000,12000,6,1,Arrowtooth flounderBSAI
2003,2004,1,Kamchatka flounder,BSAI,NA,NA,NA,7,1,Kamchatka flounderBSAI
2003,2004,1,Northern rock sole,BSAI,157000,132000,41500,8,1,Northern rock soleBSAI
2003,2004,1,Flathead sole,BSAI,70200,58500,19500,9,1,Flathead soleBSAI
2003,2004,1,Alaska plaice,BSAI,237000,189000,8000,10,1,Alaska plaiceBSAI
2003,2004,1,Other flatfish,BSAI,28500,21400,3500,11,1,Other flatfishBSAI
2003,2004,1,Pacific ocean perch,BSAI,17300,14600,12600,12,1,Pacific ocean perchBSAI
2003,2004,1,Pacific ocean perch,BS,NA,2920,1400,12,0,Pacific ocean perchBS
2003,2004,1,Pacific ocean perch,AI,NA,NA,NA,12,0,Pacific ocean perchAI
2003,2004,1,Pacific ocean perch,EAI,NA,3210,3080,12,0,Pacific ocean perchEAI
2003,2004,1,Pacific ocean perch,CAI,NA,3165,3035,12,0,Pacific ocean perchCAI
2003,2004,1,Pacific ocean perch,WAI,NA,5305,5085,12,0,Pacific ocean perchWAI
2003,2004,1,Sharpchin/Northern,BSAI,NA,NA,NA,19,1,Sharpchin/NorthernBSAI
2003,2004,1,Sharpchin/Northern,BS,NA,NA,NA,19,0,Sharpchin/NorthernBS
2003,2004,1,Sharpchin/Northern,AI,NA,NA,NA,19,0,Sharpchin/NorthernAI
2003,2004,1,Northern rockfish,BSAI,9810,8260,5000,13,1,Northern rockfishBSAI
2003,2004,1,Northern rockfish,BS,NA,NA,NA,13,0,Northern rockfishBS
2003,2004,1,Northern rockfish,AI,NA,NA,NA,13,0,Northern rockfishAI
2003,2004,1,Blackspotted/Rougheye rockfish,BSAI,298,223,223,14,1,Blackspotted/Rougheye rockfishBSAI
2003,2004,1,Blackspotted/Rougheye rockfish,BS/EAI,NA,NA,NA,14,0,Blackspotted/Rougheye rockfishBS/EAI
2003,2004,1,Blackspotted/Rougheye rockfish,CAI/WAI,NA,NA,NA,14,0,Blackspotted/Rougheye rockfishCAI/WAI
2003,2004,1,Shortraker rockfish,BSAI,794,596,596,15,1,Shortraker rockfishBSAI
2003,2004,1,Shortraker rockfish,BSAI,NA,NA,NA,15,1,Shortraker rockfishBSAI
2003,2004,1,Shortraker rockfish,BS,NA,NA,NA,15,0,Shortraker rockfishBS
2003,2004,1,Shortraker rockfish,AI,NA,NA,NA,15,0,Shortraker rockfishAI
2003,2004,1,Other Red rockfish,BS,NA,NA,NA,11,0,Other Red rockfishBS
2003,2004,1,Other Red rockfish,AI,NA,NA,NA,11,0,Other Red rockfishAI
2003,2004,1,Other Red rockfish,BSAI,1870,1400,1050,11,1,Other Red rockfishBSAI
2003,2004,1,Other Red rockfish,BS,NA,810,460,11,0,Other Red rockfishBS
2003,2004,1,Other Red rockfish,AI,NA,590,590,11,0,Other Red rockfishAI
2003,2004,1,Atka mackerel,BSAI,147000,124000,63000,17,1,Atka mackerelBSAI
2003,2004,1,Atka mackerel,EAI/BS,NA,24550,7500,17,0,Atka mackerelEAI/BS
2003,2004,1,Atka mackerel,CAI,NA,52830,35500,17,0,Atka mackerelCAI
2003,2004,1,Atka mackerel,WAI,NA,46620,20000,17,0,Atka mackerelWAI
2003,2004,1,Skates,BSAI,NA,NA,NA,18,1,SkatesBSAI
2003,2004,1,Sculpins,BSAI,NA,NA,NA,15,1,SculpinsBSAI
2003,2004,1,Sharks,BSAI,NA,NA,NA,19,1,SharksBSAI
2003,2004,1,Squids,BSAI,2620,1970,1275,21,1,SquidsBSAI
2003,2004,1,Octopuses,BSAI,NA,NA,NA,20,1,OctopusesBSAI
2003,2004,1,Other species,BSAI,87920,53860,29000,16,1,Other speciesBSAI
2002,2003,1,Pollock,BS,3530000,2330000,1491760,1,1,PollockBS
2002,2003,1,Pollock,AI,52600,39400,1000,1,1,PollockAI
2002,2003,1,Pollock,Bogoslof,45300,4070,50,1,1,PollockBogoslof
2002,2003,1,Pacific cod,BSAI,324000,223000,207500,2,1,Pacific codBSAI
2002,2003,1,Pacific cod,BS,NA,NA,NA,2,0,Pacific codBS
2002,2003,1,Pacific cod,AI,NA,NA,NA,2,0,Pacific codAI
2002,2003,1,Sablefish,BSAI Total,NA,NA,NA,3,1,SablefishBSAI Total
2002,2003,1,Sablefish,Alaska Total,NA,NA,NA,3,0,SablefishAlaska Total
2002,2003,1,Sablefish,BS,4290,2900,2900,3,1,SablefishBS
2002,2003,1,Sablefish,AI,4590,3100,3100,3,1,SablefishAI
2002,2003,1,Yellowfin sole,BSAI,136000,114000,83750,4,1,Yellowfin soleBSAI
2002,2003,1,Greenland turbot,BSAI,17800,5880,4000,5,1,Greenland turbotBSAI
2002,2003,1,Greenland turbot,BS,NA,3920,2680,5,0,Greenland turbotBS
2002,2003,1,Greenland turbot,AI,NA,1960,1320,5,0,Greenland turbotAI
