AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2018,2018,1,Thornyhead rockfish,W,n/a,344,344,,1,Thornyhead rockfishW
2018,2018,1,Thornyhead rockfish,C,n/a,921,921,,1,Thornyhead rockfishC
2018,2018,1,Thornyhead rockfish,E,n/a,773,773,,1,Thornyhead rockfishE
2018,2018,1,Thornyhead rockfish,Total,"2,717","2,038","2,038",,1,Thornyhead rockfishTotal
2018,2018,1,Other rockfish,W and C,n/a,"1,737","1,737",,1,Other rockfishWandC
2018,2018,1,Other rockfish,WYK,n/a,368,368,,1,Other rockfishWYK
2018,2018,1,Other rockfish,SEO,n/a,"3,489",200,,1,Other rockfishSEO
2018,2018,1,Other rockfish,Total,"7,356","5,594","2,305",,1,Other rockfishTotal
2018,2018,1,Atka mackerel,GW,"6,200","4,700","3,000",,1,Atka mackerelGW
2018,2018,1,Big skate,W,n/a,504,504,,1,Big skateW
2018,2018,1,Big skate,C,n/a,"1,774","1,774",,1,Big skateC
2018,2018,1,Big skate,E,n/a,570,570,,1,Big skateE
2018,2018,1,Big skate,Total,"3,797","2,848","2,848",,1,Big skateTotal
2018,2018,1,Longnose skate,W,n/a,149,149,,1,Longnose skateW
2018,2018,1,Longnose skate,C,n/a,"2,804","2,804",,1,Longnose skateC
2018,2018,1,Longnose skate,E,n/a,619,619,,1,Longnose skateE
2018,2018,1,Longnose skate,Total,"4,763","3,572","3,572",,1,Longnose skateTotal
2018,2018,1,Other skates,GW,"1,845","1,384","1,384",,1,Other skatesGW
2018,2018,1,Sculpins,GW,"6,958","5,301","5,301",24.0,1,SculpinsGW
2018,2018,1,Sharks,GW,"6,020","4,514","4,514",21.0,1,SharksGW
2018,2018,1,Squids,GW,"1,516","1,137","1,137",25.0,1,SquidsGW
2018,2018,1,Octopus,GW,"1,300",975,975,22.0,1,OctopusGW
2018,2018,1,Total,GOA,"655,707","536,921","427,512",23.0,1,TotalGOA
2018,2019,2,Pollock,Shumagin (610),n/a,"19,921","19,921",1.0,1,PollockShumagin610
2018,2019,2,Pollock,Chirikof (620),n/a,"52,459","52,459",1.0,1,PollockChirikof620
2018,2019,2,Pollock,Kodiak (630),n/a,"27,016","27,016",1.0,1,PollockKodiak630
2018,2019,2,Pollock,WYK (640),n/a,"4,509","4,509",1.0,1,PollockWYK640
2018,2019,2,Pollock,W/C/WYK (subtotal),"131,170","106,569","103,905",1.0,1,PollockWCWYKsubtotal
2018,2019,2,Pollock,SEO (650),"11,697","8,773","8,773",1.0,1,PollockSEO650
2018,2019,2,Pollock,Total,"142,867","115,341","112,678",1.0,1,PollockTotal
