AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC
2005,2005,1,Pacific cod,,,"18,396
29,127
3,557","13,797
22,064
3,2198,471
941
13,547
1,505"
2005,2005,1,Pelagic Shelf Rockfish,,,"377
3,067
211
898366
2,973
205
871","377
3,067
211
898366
2,973
205
871377
3,067
1,109"
2005,2005,1,Pollock,610/620/630 (subtotal),,"30,380
34,404
18,718
1,68830,452
34,485
18,762
1,691","30,380
34,404
18,718
1,68830,452
34,485
18,762
1,6915,035
11,692
4,148"
2005,2005,1,Rex Sole,,,"1,680
7,340
1,340
2,2901,680
7,340
1,340
2,290","1,680
7,340
1,340
2,2901,680
7,340
1,340
........................1,680
7,340
3,630"
2005,2005,1,Sablefish,,,"2,540
7,250
2,580
3,570","2,540
7,250
2,580
3,570508
1,450
307"
2005,2005,1,Shortraker Rockfish,,,"155
324
274155
324
274","155
324
274155
324
274155
324
274"
2005,2005,1,Thornyhead Rockfish,,,"410
1,010
520410
1,010
520","410
1,010
520410
1,010
........................410
1,010
520"
2006,2006,1,Pollock,,637,67967920,20211
2007,2007,1,Arrowtooth Flounder,C,,"139,582","30,000"
2007,2007,1,Arrowtooth Flounder,SEO,,"7,067","2,500"
2007,2007,1,Arrowtooth Flounder,W,,"20,852","8,000"
2007,2007,1,Arrowtooth Flounder,WYK,,"16,507","2,500"
2007,2007,1,Atka Mackerel,GW,"6,200","4,700","1,500"
2007,2007,1,Big Skates,C,,"2,250","2,250"
2007,2007,1,Big Skates,E,,599,599
2007,2007,1,Big Skates,W,,695,695
2007,2007,1,Big Skates,,"4,726","3,544","3,544"
2007,2007,1,Demersal Shelf Rockfish,SEO,650,410,410
2007,2007,1,Flathead Sole,C,,"26,054","5,000"
2007,2007,1,Flathead Sole,SEO,,57,57
2007,2007,1,Flathead Sole,W,,"10,908","2,000"
2007,2007,1,Flathead Sole,WYK,,"2,091","2,091"
2007,2007,1,Longnose Skates,C,,"1,969","1,969"
2007,2007,1,Longnose Skates,E,,861,861
2007,2007,1,Longnose Skates,W,,65,65
2007,2007,1,Longnose Skates,,"3,860","2,895","2,895"
2007,2007,1,Northern Rockfish,C,,"3,499","3,499"
2007,2007,1,Northern Rockfish,E,,0,0
2007,2007,1,Northern Rockfish,W,,"1,439","1,439"
2007,2007,1,Other Rockfish,C,,386,386
2007,2007,1,Other Rockfish,SEO,,"2,872",200
2007,2007,1,Other Rockfish,W,,577,577
2007,2007,1,Other Rockfish,WYK,,319,319
2007,2007,1,Other Skates,GW,"2,156","1,617","1,617"
2007,2007,1,Other Species,GW,,,"4,500"
2007,2007,1,Pacific Ocean Perch,C,"8,922","7,612","7,612"
2007,2007,1,Pacific Ocean Perch,SEO,,"1,640","1,640"
2007,2007,1,Pacific Ocean Perch,W,"4,976","4,244","4,244"
2007,2007,1,Pacific Ocean Perch,WYK,,"1,140","1,140"
2007,2007,1,Pacific cod,C,,"37,873","28,405"
2007,2007,1,Pacific cod,E,,"4,131","3,718"
2007,2007,1,Pacific cod,W,,"26,855","20,141"
2007,2007,1,Pelagic Shelf Rockfish,C,,"3,325","3,325"
2007,2007,1,Pelagic Shelf Rockfish,SEO,,444,444
2007,2007,1,Pelagic Shelf Rockfish,W,,"1,466","1,466"
2007,2007,1,Pelagic Shelf Rockfish,WYK,,307,307
2007,2007,1,Pollock,Chirikof (620),,"20,890","20,980"
2007,2007,1,Pollock,Kodiak (630),,"14,850","14,850"
2007,2007,1,Pollock,Shumagin (610),,"25,012","25,012"
2007,2007,1,Pollock,WYK (640),,"1,398","1,398"
2007,2007,1,Pollock,,â,â,â
2007,2007,1,Rex Sole,C,,"5,446","5,446"
2007,2007,1,Rex Sole,SEO,,"1,470","1,470"
2007,2007,1,Rex Sole,W,,"1,147","1,147"
2007,2007,1,Rex Sole,WYK,,"1,037","1,037"
2007,2007,1,Sablefish,C,,"6,190","6,190"
2007,2007,1,Sablefish,SEO,,"3,370","3,370"
2007,2007,1,Sablefish,W,,"2,470","2,470"
2007,2007,1,Sablefish,WYK,,"2,280","2,280"
2007,2007,1,Shortraker Rockfish,C,,353,353
2007,2007,1,Shortraker Rockfish,E,,337,337
2007,2007,1,Shortraker Rockfish,W,,153,153
2007,2007,1,Thornyhead Rockfish,C,,989,989
2007,2007,1,Thornyhead Rockfish,E,,707,707
2007,2007,1,Thornyhead Rockfish,W,,513,513
2008,2008,1,Arrowtooth Flounder,C,,"167,936","30,000"
2008,2008,1,Arrowtooth Flounder,SEO,,"12,472","2,500"
2008,2008,1,Arrowtooth Flounder,W,,"30,817","8,000"
2008,2008,1,Arrowtooth Flounder,WYK,,"15,245","2,500"
2008,2008,1,Atka Mackerel,GW,"6,200","4,700","1,500"
2008,2008,1,Big Skates,C,,"2,065","2,065"
2008,2008,1,Big Skates,E,,633,633
2008,2008,1,Big Skates,W,,632,632
2008,2008,1,Demersal Shelf Rockfish,SEO,611,382,382
2008,2008,1,Flathead Sole,C,,"28,174","5,000"
2008,2008,1,Flathead Sole,SEO,,634,634
2008,2008,1,Flathead Sole,W,,"12,507","2,000"
2008,2008,1,Flathead Sole,WYK,,"3,420","3,420"
2008,2008,1,Longnose Skates,C,,"2,041","2,041"
2008,2008,1,Longnose Skates,E,,768,768
2008,2008,1,Longnose Skates,W,,78,78
2008,2008,1,Northern Rockfish,C,,"2,408","2,408"
2008,2008,1,Northern Rockfish,E,,0,0
2008,2008,1,Northern Rockfish,W,,"2,141","2,141"
2008,2008,1,Other Rockfish,C,,569,569
2008,2008,1,Other Rockfish,SEO,,"2,767",200
2008,2008,1,Other Rockfish,W,,357,357
2008,2008,1,Other Rockfish,WYK,,604,604
2008,2008,1,Other Skates,GW,"2,806","2,104","2,104"
2008,2008,1,Other Species,GW,,,"4,500"
2008,2008,1,Pacific Ocean Perch,C,"9,717","8,185","8,185"
2008,2008,1,Pacific Ocean Perch,SEO,,"2,028","2,028"
2008,2008,1,Pacific Ocean Perch,W,"4,376","3,686","3,686"
2008,2008,1,Pacific Ocean Perch,WYK,,"1,100","1,100"
2008,2008,1,Pacific cod,C,,"37,901","28,426"
2008,2008,1,Pacific cod,E,,"2,660","2,394"
2008,2008,1,Pacific cod,W,,"25,932","19,449"
2008,2008,1,Pelagic Shelf Rockfish,C,,"3,626","3,626"
2008,2008,1,Pelagic Shelf Rockfish,SEO,,347,347
2008,2008,1,Pelagic Shelf Rockfish,W,,"1,003","1,003"
2008,2008,1,Pelagic Shelf Rockfish,WYK,,251,251
2008,2008,1,Pollock,Chirikof (620),,"19,181","19,181"
2008,2008,1,Pollock,Kodiak (630),,"13,640","13,640"
2008,2008,1,Pollock,Shumagin (610),,"17,602","17,602"
2008,2008,1,Pollock,WYK (640),,"1,517","1,517"
2008,2008,1,Rex Sole,C,,"6,731","6,731"
2008,2008,1,Rex Sole,SEO,,859,859
2008,2008,1,Rex Sole,W,,"1,022","1,022"
