AssmentYr,ProjYear,lag,Area,Species,ABC,OFL,TAC,OY,Order
1989,1989,1,Total,Pelagic Shelf Rockfish,6600,,3300,1,26
1989,1989,1,W,Pelagic Shelf Rockfish,1000,,500,1,26
1989,1989,1,Total (GW),Other Species,,,11046,1,27
1989,1989,1,C,Other Flounder,384300,,31800,1,29
1989,1989,1,E,Other Flounder,58900,,1000,1,29
1989,1989,1,Total,Other Flounder,554700,,36000,1,29
1989,1989,1,W,Other Flounder,111500,,3200,1,29
1990,1990,1,610/620/630 (subtotal),Pollock,63750,,63750,1,1
1990,1990,1,E,Pollock,3400,,3400,1,1
1990,1990,1,Shelikof,Pollock,6250,,6250,1,1
1990,1990,1,Total,Pollock,73400,,73400,1,1
1990,1990,1,C,Pacific cod,59500,,59500,1,2
1990,1990,1,E,Pacific cod,1000,,1000,1,2
1990,1990,1,Total,Pacific cod,90000,,90000,1,2
1990,1990,1,W,Pacific cod,29500,,29500,1,2
1990,1990,1,C,Sablefish,11800,,11700,1,3
1990,1990,1,SEO/EYK,Sablefish,6000,,5980,1,3
1990,1990,1,Total,Sablefish,26200,,26000,1,3
1990,1990,1,W,Sablefish,3800,,3770,1,3
1990,1990,1,WYK,Sablefish,4600,,4550,1,3
1990,1990,1,C,Shallow-water Flatfish,52200,,6180,1,4
1990,1990,1,E,Shallow-water Flatfish,2100,,250,1,4
1990,1990,1,Total,Shallow-water Flatfish,84500,,10000,1,4
1990,1990,1,W,Shallow-water Flatfish,30200,,3570,1,4
1990,1990,1,C,Deep-water Flatfish,77700,,15300,1,5
1990,1990,1,E,Deep-water Flatfish,14400,,3050,1,5
1990,1990,1,Total,Deep-water Flatfish,108400,,22000,1,5
1990,1990,1,W,Deep-water Flatfish,16300,,3650,1,5
1990,1990,1,C,Arrowtooth Flounder,141000,,23170,1,7
1990,1990,1,E,Arrowtooth Flounder,26600,,4380,1,7
1990,1990,1,Total,Arrowtooth Flounder,194600,,32000,1,7
1990,1990,1,W,Arrowtooth Flounder,27000,,4450,1,7
1990,1990,1,SEO,Demersal Shelf Rockfish,,,470,1,14
1990,1990,1,Total (GW),Thornyhead Rockfish,3800,,3800,1,15
1990,1990,1,C,Other Rockfish,7700,,7700,1,16
1990,1990,1,E,Other Rockfish,5700,,5700,1,16
1990,1990,1,Total,Other Rockfish,17700,,17700,1,16
1990,1990,1,W,Other Rockfish,4300,,4300,1,16
1990,1990,1,,Total,606800,,297749,1,23
1990,1990,1,C,Pelagic Shelf Rockfish,5800,,5800,1,26
1990,1990,1,E,Pelagic Shelf Rockfish,1000,,1000,1,26
1990,1990,1,Total,Pelagic Shelf Rockfish,8200,,8200,1,26
1990,1990,1,W,Pelagic Shelf Rockfish,1400,,1400,1,26
1990,1990,1,Total (GW),Other Species,,,14179,1,27
1991,1991,1,610/620,Pollock,50000,,50000,1,1
1991,1991,1,610/620/630 (subtotal),Pollock,100000,,100000,1,1
1991,1991,1,E,Pollock,3400,,3400,1,1
1991,1991,1,Kodiak (630),Pollock,50000,,50000,1,1
1991,1991,1,Total,Pollock,103400,,103400,1,1
1991,1991,1,C,Pacific cod,45000,,45000,1,2
1991,1991,1,E,Pacific cod,2900,,2900,1,2
1991,1991,1,Total,Pacific cod,77900,,77900,1,2
1991,1991,1,W,Pacific cod,30000,,30000,1,2
1991,1991,1,C,Sablefish,10575,,10575,1,3
1991,1991,1,SEO/EYK,Sablefish,4950,,4950,1,3
1991,1991,1,Total,Sablefish,22500,,22500,1,3
1991,1991,1,W,Sablefish,2925,,2925,1,3
1991,1991,1,WYK,Sablefish,4050,,4050,1,3
1991,1991,1,C,Shallow-water Flatfish,22200,,7000,1,4
1991,1991,1,E,Shallow-water Flatfish,3000,,2000,1,4
1991,1991,1,Total,Shallow-water Flatfish,74000,,12000,1,4
1991,1991,1,W,Shallow-water Flatfish,48800,,3000,1,4
1991,1991,1,C,Deep-water Flatfish,38900,,10000,1,5
1991,1991,1,E,Deep-water Flatfish,9600,,3000,1,5
1991,1991,1,Total,Deep-water Flatfish,50500,,15000,1,5
1991,1991,1,W,Deep-water Flatfish,2000,,2000,1,5
1991,1991,1,C,Arrowtooth Flounder,272100,,10000,1,7
1991,1991,1,E,Arrowtooth Flounder,27200,,5000,1,7
1991,1991,1,Total,Arrowtooth Flounder,340100,,20000,1,7
1991,1991,1,W,Arrowtooth Flounder,40800,,5000,1,7
1991,1991,1,C,Flathead Sole,32700,,5000,1,8
1991,1991,1,E,Flathead Sole,5000,,3000,1,8
1991,1991,1,Total,Flathead Sole,50300,,10000,1,8
1991,1991,1,W,Flathead Sole,12600,,2000,1,8
1991,1991,1,C,Pacific Ocean Perch,,,1798,1,9
1991,1991,1,E,Pacific Ocean Perch,,,2378,1,9
1991,1991,1,Total,Pacific Ocean Perch,5800,,5800,1,9
1991,1991,1,W,Pacific Ocean Perch,,,1624,1,9
1991,1991,1,SEO,Demersal Shelf Rockfish,445,,425,1,14
1991,1991,1,Total (GW),Thornyhead Rockfish,1798,,1398,1,15
1991,1991,1,C,Other Rockfish,,,5454,1,16
1991,1991,1,E,Other Rockfish,,,3434,1,16
1991,1991,1,Total,Other Rockfish,10100,,10100,1,16
1991,1991,1,W,Other Rockfish,,,1212,1,16
1991,1991,1,,Total,743643,,301089,1,23
1991,1991,1,C,Pelagic Shelf Rockfish,,,3100,1,26
1991,1991,1,E,Pelagic Shelf Rockfish,,,900,1,26
1991,1991,1,Total,Pelagic Shelf Rockfish,4800,,4800,1,26
1991,1991,1,W,Pelagic Shelf Rockfish,,,800,1,26
1991,1991,1,Total (GW),Other Species,,,15766,1,27
1991,1991,1,C,Shortraker/Rougheye Rockfish,,,1320,1,28
1991,1991,1,E,Shortraker/Rougheye Rockfish,,,580,1,28
1991,1991,1,Total,Shortraker/Rougheye Rockfish,2000,,2000,1,28
1991,1991,1,W,Shortraker/Rougheye Rockfish,,,100,1,28
1992,1992,1,610/620/630 (subtotal),Pollock,96000,219000,84000,1,1
1992,1992,1,Chirikof (620),Pollock,,,18480,1,1
1992,1992,1,E,Pollock,3400,8900,3400,1,1
1992,1992,1,Kodiak (630),Pollock,,,46200,1,1
1992,1992,1,Shumagin (610),Pollock,,,19320,1,1
1992,1992,1,Total,Pollock,99400,227900,87400,1,1
1992,1992,1,C,Pacific cod,39000,,39000,1,2
1992,1992,1,E,Pacific cod,1000,,1000,1,2
1992,1992,1,Total,Pacific cod,63500,87600,63500,1,2
1992,1992,1,W,Pacific cod,23500,,23500,1,2
1992,1992,1,C,Sablefish,9570,,9570,1,3
1992,1992,1,SEO,Sablefish,4990,,4990,1,3
1992,1992,1,Total,Sablefish,20800,28200,20800,1,3
1992,1992,1,W,Sablefish,2500,,2500,1,3
1992,1992,1,WYK,Sablefish,3740,,3740,1,3
1992,1992,1,C,Shallow-water Flatfish,21260,,7000,1,4
1992,1992,1,E,Shallow-water Flatfish,1740,,1740,1,4
1992,1992,1,Total,Shallow-water Flatfish,50480,70900,11740,1,4
1992,1992,1,W,Shallow-water Flatfish,27480,,3000,1,4
1992,1992,1,C,Deep-water Flatfish,33550,,15000,1,5
1992,1992,1,E,Deep-water Flatfish,3990,,3000,1,5
1992,1992,1,Total,Deep-water Flatfish,39280,51500,19740,1,5
1992,1992,1,W,Deep-water Flatfish,1740,,1740,1,5
1992,1992,1,C,Arrowtooth Flounder,253320,,15000,1,7
1992,1992,1,E,Arrowtooth Flounder,11680,,5000,1,7
1992,1992,1,Total,Arrowtooth Flounder,303880,427000,25000,1,7
1992,1992,1,W,Arrowtooth Flounder,38880,,5000,1,7
1992,1992,1,C,Flathead Sole,31990,,5000,1,8
1992,1992,1,E,Flathead Sole,3710,,3000,1,8
1992,1992,1,Total,Flathead Sole,48280,63100,10000,1,8
1992,1992,1,W,Flathead Sole,12580,,2000,1,8
1992,1992,1,C,Pacific Ocean Perch,1720,,1561,1,9
1992,1992,1,E,Pacific Ocean Perch,2390,,2169,1,9
1992,1992,1,Total,Pacific Ocean Perch,5730,5730,5200,1,9
1992,1992,1,W,Pacific Ocean Perch,1620,,1470,1,9
1992,1992,1,SEO,Demersal Shelf Rockfish,550,732,550,1,14
1992,1992,1,Total (GW),Thornyhead Rockfish,1798,2440,1798,1,15
1992,1992,1,C,Other Rockfish,6510,,6510,1,16
1992,1992,1,E,Other Rockfish,6160,,6160,1,16
1992,1992,1,Total,Other Rockfish,14060,20710,14060,1,16
1992,1992,1,W,Other Rockfish,1390,,1390,1,16
1992,1992,1,,Total,656604,1000072,282066,1,23
1992,1992,1,C,Pelagic Shelf Rockfish,4393,,4393,1,26
1992,1992,1,E,Pelagic Shelf Rockfish,1281,,1281,1,26
1992,1992,1,Total,Pelagic Shelf Rockfish,6886,11360,6886,1,26
1992,1992,1,W,Pelagic Shelf Rockfish,1212,,1212,1,26
1992,1992,1,Total (GW),Other Species,,,13432,1,27
1992,1992,1,C,Shortraker/Rougheye Rockfish,1290,,1290,1,28
1992,1992,1,E,Shortraker/Rougheye Rockfish,570,,570,1,28
1992,1992,1,Total,Shortraker/Rougheye Rockfish,1960,2900,1960,1,28
1992,1992,1,W,Shortraker/Rougheye Rockfish,100,,100,1,28
1993,1993,1,610/620/630 (subtotal),Pollock,157000,286000,111000,1,1
1993,1993,1,Chirikof (620),Pollock,36737,,25974,1,1
1993,1993,1,E,Pollock,3400,9020,3400,1,1
1993,1993,1,Kodiak (630),Pollock,86195,,60939,1,1
1993,1993,1,Shumagin (610),Pollock,34068,,24087,1,1
1993,1993,1,Total,Pollock,160400,295020,114400,1,1
1993,1993,1,C,Pacific cod,35200,,35200,1,2
1993,1993,1,E,Pacific cod,2800,,2800,1,2
1993,1993,1,Total,Pacific cod,56700,78100,56700,1,2
1993,1993,1,W,Pacific cod,18700,,18700,1,2
1993,1993,1,C,Sablefish,9610,,9610,1,3
1993,1993,1,SEO,Sablefish,5430,,5430,1,3
1993,1993,1,Total,Sablefish,20900,27750,20900,1,3
1993,1993,1,W,Sablefish,2030,,2030,1,3
1993,1993,1,WYK,Sablefish,3830,,3830,1,3
1993,1993,1,C,Shallow-water Flatfish,21260,,10000,1,4
1993,1993,1,E,Shallow-water Flatfish,1740,,1740,1,4
1993,1993,1,Total,Shallow-water Flatfish,50480,70860,16240,1,4
1993,1993,1,W,Shallow-water Flatfish,27480,,4500,1,4
1993,1993,1,C,Deep-water Flatfish,35580,,15000,1,5
1993,1993,1,E,Deep-water Flatfish,7930,,3000,1,5
1993,1993,1,Total,Deep-water Flatfish,45530,59650,19740,1,5
1993,1993,1,W,Deep-water Flatfish,2020,,1740,1,5
1993,1993,1,C,Arrowtooth Flounder,253330,,20000,1,7
1993,1993,1,E,Arrowtooth Flounder,29080,,5000,1,7
1993,1993,1,Total,Arrowtooth Flounder,321290,451690,30000,1,7
1993,1993,1,W,Arrowtooth Flounder,38880,,5000,1,7
1993,1993,1,C,Flathead Sole,31830,,5000,1,8
1993,1993,1,E,Flathead Sole,5040,,3000,1,8
1993,1993,1,Total,Flathead Sole,49450,64780,10000,1,8
1993,1993,1,W,Flathead Sole,12580,,2000,1,8
1993,1993,1,C,Pacific Ocean Perch,949,,949,1,9
1993,1993,1,E,Pacific Ocean Perch,1676,,1270,1,9
1993,1993,1,Total,Pacific Ocean Perch,3378,3378,2560,1,9
1993,1993,1,W,Pacific Ocean Perch,753,,341,1,9
1993,1993,1,C,Northern Rockfish,4720,,4720,1,10
1993,1993,1,E,Northern Rockfish,40,,40,1,10
1993,1993,1,Total,Northern Rockfish,5760,10360,5760,1,10
1993,1993,1,W,Northern Rockfish,1000,,1000,1,10
1993,1993,1,SEO,Demersal Shelf Rockfish,800,1600,800,1,14
1993,1993,1,Total (GW),Thornyhead Rockfish,1180,1441,1062,1,15
1993,1993,1,C,Other Rockfish,1640,,1064,1,16
1993,1993,1,E,Other Rockfish,6330,,4105,1,16
1993,1993,1,Total,Other Rockfish,8300,9850,5383,1,16
1993,1993,1,W,Other Rockfish,330,,214,1,16
1993,1993,1,,Total,732868,1088679,306651,1,23
1993,1993,1,C,Pelagic Shelf Rockfish,4450,,4450,1,26
1993,1993,1,E,Pelagic Shelf Rockfish,1280,,1280,1,26
1993,1993,1,Total,Pelagic Shelf Rockfish,6740,11300,6740,1,26
